/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_08_line_00848.wav(107.95454545454545%)|một khi xắc thịt đã làm lung lạc lòng người thì người ta ai cũng vội quên phăng ngay những lời minh sơn thệ hải rất thiêng liêng thành thực và do thế sự hối hận về lời thề sẽ đầu độc mất cả những hoan lạc dịu dàng nhất thế gian|một khi xắc thịt đã làm lung lạc là người thì người ta ai cũng vội quên phăng ngay những lời minh sơn thệ hải rất thiêng liêng thành thực và do thế sự hối hận về lời thề sẽ đầu độc mất cả những hoan lạc dịu dàng nhất thế gian  
tts_lines_part_08_line_00849.wav(68.29268292682927%)|những lời thề là rất vô ích và bao giờ cũng nguy hiểm|những lời thề là rất vui và bao giờ cũng nguy hiểm   
tts_lines_part_08_line_00856.wav(63.23529411764706%)|đọc xong mảnh giấy ấy tuy thấy nó cũng ngộ nghĩnh hay hay song em cũng vẫn phải bất mãn|đọc xong mảnh giấy ấy tuy thấy nó cũng ngộ miễn hay hay song em cũng vẫn phải bất mãn  
tts_lines_part_08_line_00863.wav(79.12087912087912%)|buổi trưa hôm ấy thừa lúc nhà vắng lưu đương ngồi ôm trán trước quyển toán pháp em rón rén đến bên để lá thư giữa bàn|buổi trưa hôm ấy thừa lúc nhà vắng lưu đương mới ôm trán trước quyển toán pháp em rón rén đến bên để lá thư giữa bàn 
tts_lines_part_08_line_00866.wav(114.28571428571428%)|em ngồi xuống đối diện dịu dàng hỏi|em mới xuống đối diện dịu dàng hỏi 
tts_lines_part_08_line_00872.wav(35.0%)|cũng có phần bổ ích cho cô|cũng có phần bổ cho cô    
tts_lines_part_08_line_00879.wav(39.130434782608695%)|đến đây nguyễn lưu cúi đầu hổ thẹn hồi lâu rồi ngẩng mặt nhìn thẳng vào em trừng trừng với hai con mắt của kẻ diên dại|đến đây nguyễn lưu cúi đầu hổ thẹn hồi lâu rồi nằm mặt nhìn thẳng vào em trường trường với hai con mắt của kẻ diên dại
tts_lines_part_08_line_00887.wav(79.3296089385475%)|nếu không có cuộc tra khảo kể trên tự nhiên không bao giờ thật thế không bao giờ lưu lại dám ngỏ lòng yêu với em vì nếu lưu mà lại dám nói ra miệng là yêu em thì thật là táo bạo ghê gớm một sự xấu xa bẩn thỉu chẳng kém một vụ loạn luân|nếu không có cuộc tra khảo kể trên tự nhiên không bao giờ thật thế không bao giờ lưu lại dám bỏ lòng yêu với em vì nếu lưu mà lại dám nói ra miệng là yêu em thì thật là táo bạo ghê gớm một sự xấu xa bẩn thỉu chẳng kém một vụ loạn luân 
tts_lines_part_08_line_00898.wav(63.63636363636363%)|thôi anh im đi  |thôi anh nhìn đi
tts_lines_part_08_line_00906.wav(100.0%)|thất vọng |thích vàng
tts_lines_part_08_line_00952.wav(28.57142857142857%)|lưu và em hai đứa hết sức tránh nhau|lưu và em hai đứa hết sức trẻ nhau  
tts_lines_part_08_line_00992.wav(128.47222222222223%)|paul sanh mặc bộ âu phục rất sang trọng cái đầu đen láy những sáp ở sau gáy thì tóc uốn quăn và để xuề xòa theo kiểu những nhà triết học lúc bắt tay em thì cả người thơm lừng mùi nước hoa|ôn sanh mặc bộ âu phục rất sang trọng cái đầu đen láy những sáp ở sau gáy thì tóc uốn quăn và để xuề xòa theo kiểu những nhà triết học lúc bắt tay em thì cả người thơm lừng mùi nước hoa  
tts_lines_part_08_line_01010.wav(83.05647840531562%)|thoạt đầu trước mặt những người tân tiến thứ nhất của xã hội em đã lúng túng và hổ thẹn tự thấy minh kém cỏi cái cảm tưởng của người nghèo co quắp nhút nhát trước một số đông người giàu hay là của một người ít học thức giữa một đám những ông đỗ đạt bằng nọ bằng kia về sau em lại hối hận nghĩ rằng nếu lưu biết mình lai vãng một nơi như nơi này ắt là lòng kính yêu của lưu sẽ đổi ra khinh bỉ|thoạt đầu trước mặt những người tân tiến thứ nhất của xã hội em đã lúng túng và hổ thẹn tự thấy minh kém cỏi cái cảm tưởng của người nghèo có các nước nhát trước một số đông người giàu hay là của một người ít học thức giữa một đám những ông đỗ đạt bằng nọ bằng kia về sau em lại hối hận nghĩ rằng nếu lưu biết mình lai vãng một nơi như nơi này ắt là lòng kính yêu của lưu sẽ đổi ra khinh bỉ 
tts_lines_part_08_line_01014.wav(97.05882352941177%)|em nghiệm ra rằng đối với hạng người mới quen cái kiêu ngạo là một thứ lợi khí buộc kẻ khác phải kính trọng mình vì rằng tuy họ chưa rõ mình hay dở thế nào nhưng cứ thấy mình lên mặt là cứ biết họ phải sợ phải kiêng dè đã|em nghiệm ra rằng đối với hạng người mới quen cái kiêu nào là một thứ lợi khí buộc kẻ khác phải kính trọng mình vì rằng tuy họ chưa rõ mình hay dở thế nào nhưng cứ thấy mình lên mặt là cứ biết họ phải sợ phải kiêng dè đã 
tts_lines_part_08_line_01015.wav(131.70731707317074%)|quả vậy chưa mấy lúc mà ai cũng đã ra vẻ nhún nhường ai cũng tìm những lời lẽ làm thỏa cái lòng tự ái của em|và vậy chưa mấy lúc mà ai cũng đã ra vẻ muốn nhường ai cũng tìm những lời lẽ làm thỏa cái lòng tự ái của em 
tts_lines_part_08_line_01022.wav(28.57142857142857%)|chứ lạ gì|chỉ là gì
tts_lines_part_08_line_01026.wav(58.620689655172406%)|thật thế lắm lúc ở những nơi tiệc tùng càng thấy không biết nhảy là hủ lậu|thật thế lắm lúc ở những nơi tiệc tùng cảm thấy không biết nhảy là hủ lậu 
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_08_line_01034.wav
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_08_line_01035.wav
tts_lines_part_08_line_01036.wav(66.66666666666666%)|bịa|ba 
tts_lines_part_08_line_01037.wav(130.0%)|nếu dâm ô thì cả âu châu mấy nghìn năm nay cũng dâm à  |những dâm ô thì cả âu châu mấy nghìn năm nay cũng ra mà
tts_lines_part_08_line_01051.wav(100.0%)|essayer quelques pas|em xin ơ của bà     
tts_lines_part_08_line_01055.wav(109.09090909090908%)|rồi paul sanh ra vặn đĩa kèn|rồi ôn sanh ra vặn đĩa kèn  
tts_lines_part_08_line_01070.wav(28.35820895522388%)|em chẳng thấy gì khác là cứ chạm phải giày nhau và cái trò ấy nó kệch cỡm ngộ nghĩnh nó|em chẳng thấy gì khác là cứ chạm phải giày nhau và cái trò ấy nó cải cơm mua mình nó   
tts_lines_part_08_line_01072.wav(56.896551724137936%)|rồi sau khi luống cuống em đứng im để cho ngân phải bỏ em ra mà cười rũ rượi|rồi sau khi luống cuống em đứng im để cho nên phải bỏ em ra mà cười rũ rượi 
tts_lines_part_08_line_01073.wav(113.90728476821192%)|vừa lúc lại thay điệu nhạc khác nhân tiện một cô ả ra ngồi nghỉ cái ông giáo sư khiêu vũ chế nhạo ngân rằng làm như thế chỉ ngăn trở phong trào khiêu vũ và quay về dịu dàng kính cẩn giơ tay mời em|vừa lúc lại thay điệu nhà khác nhân tiện một cô ả ra ngồi nghỉ cái ông giáo sư khiêu vũ chế nhạo ngân rằng làm như thế chỉ ngăn trở phong trào khiêu vũ và quay về dịu dàng kính cẩn giơ tay mời em 
tts_lines_part_08_line_01075.wav(90.36144578313254%)|xin quý nương theo tôi tôi entrainer mười phút thì quý nương sẽ hiểu rõ cái mỹ thuật tối cao của nhảy đầm|xin quý nương theo tôi tôi in tơ ne mười phút thì quý nương sẽ hiểu rõ cái mỹ thuật tối cao của nhảy đầm 
tts_lines_part_08_line_01078.wav(40.0%)|bẹn em|bẩy em
tts_lines_part_08_line_01081.wav(127.02702702702702%)|sức rạo rực của xác thịt đương lúc dậy thì em đã cố hết tâm trí mới nén được đi trong ít lâu nay bỗng đâu lại bồng bột lên với những tiềm lực mới |sức giao dược có xác thịt đương lúc dậy thì em đã cố hết tâm trí mới nén được đi trong ít lâu nay bỗng đâu lại bồng bột lên với những tiềm lực mới
tts_lines_part_08_line_01094.wav(61.53846153846154%)|ngay đến kỵ binh cũng thấy cái cơn khủng hoảng tinh thần nhịp kèn bị quên lửng bước chân hóa ra ríu rít loanh quanh|ngay đến kỵ binh cũng thấy cái cơn khủng hoảng tinh thần như kèn bị quên lửng bước chân hóa ra ríu rít lên của anh 
tts_lines_part_08_line_01100.wav(20.0%)|em cãi|em cái
tts_lines_part_08_line_01106.wav(43.44827586206896%)|em muốn ngân chuyện trò với em cho đỡ thẹn thì ngân lại vội đứng lên yêu cầu nhà giáo sư luyện nốt cho mấy bạn cái bài valse đương học dở dang vì nhằm lúc ấy chợt người ta lại thay đĩa hát|em muốn ngân chuyện trò với em cho đỡ thẹn thì ngân lại vội đứng lên yêu cầu nhà giáo sư luyện nốt cho mấy bạn cái bài vô đương học dở dang vì nhằm lúc ấy chợt người ta lại thay đĩa hát   
tts_lines_part_08_line_01108.wav(65.3061224489796%)|những ý dâm sự khao khát của xác thịt lúc trước đã tiêu tán theo lối một cục than vạc dần ở làn gio muội thì nay lại bị việc thử tập nhảy kia khêu nhóm lên hun lên như một lớp mạt cưa khô và nỏ|những ý dâm sự khao khát của xác thịt lúc trước đã tiêu tán theo lối một cục than vạc dần ở làn da mới thì nay lại bị việc thử tập nhảy kia khêu nhóm lên hun lên như một lớp mạt cưa khô và nỏ  
tts_lines_part_08_line_01110.wav(124.74226804123711%)|ngẫu nhiên trí lý luận ở em bỗng thức dậy mạnh mẽ để cho mối yêu kia đối với nguyễn lưu mất hết tính cách thuần tuý tinh thần|nó nhiên trí lý luận ở em bỗng thức dậy mạnh mẽ để cho mối yêu kia đối với nguyễn lưu mất hết tính cách thuần túy tinh thần  
tts_lines_part_08_line_01116.wav(20.0%)|ảnh gì|anh gì
tts_lines_part_08_line_01123.wav(123.2%)|vì chưng dù ở vào những phút khủng hoảng thế nào nữa trong lòng người đời cũng vẫn có cái phần thiện căn cho nên cả cái lương tâm của em cũng đồng thời thức dậy|vì chân dù ở vào những phút khủng hoảng thế nào nữa trong lòng người đời cũng vẫn có cái phần thiện căn cho nên cả cái lương tâm của em cũng đồng thời thức dậy 
tts_lines_part_08_line_01126.wav(150.0%)|ôi |tôi
tts_lines_part_08_line_01133.wav(90.2439024390244%)|không biết làm thế nào nữa em úp mặt xuống gối cho ngạt cả mũi lẫn mồm cho bộ máy hô hấp bị bế tắc đến thấy tức cả ngực thật không khác người tự tử là mấy thì mãi|không biết làm thế nào nữa em úp mặt xuống gối cho bạn cả mũi lẫn mồm cho bộ máy hô hấp bị bế tắc đến thấy tức cả ngực thật không khác người tự tử là mấy thì mãi 
tts_lines_part_08_line_01135.wav(77.77777777777779%)|em chợt ngủ lúc nào không biết nhưng cũng ngủ một cách rất vất vả vì giấc ngủ đầy những mộng mị kinh hãi|em chợt ngủ lúc nào không biết nhưng công bố một cách rất vất vả vì giấc ngủ đầy những mộng mị kinh hãi 
tts_lines_part_08_line_01160.wav(33.33333333333333%)|sao|sau
tts_lines_part_08_line_01171.wav(23.809523809523807%)|ý chừng muốn tránh cái thái độ lãnh đạm ấy lưu khoanh hai tay đến đứng ngả vai dựa tường oai nghiêm nhìn em  |ý chừng muốn tránh cái thái độ lãnh đạm ấy lưu khoanh hai tay đến đứng ngả vai dựa tường có ai nghiêm nhìn em
tts_lines_part_08_line_01203.wav(100.0%)|thì|cây
tts_lines_part_08_line_01221.wav(61.53846153846154%)|lưu sốt sắng nói|lưu sốt xã nói  
tts_lines_part_08_line_01228.wav(58.333333333333336%)|rồi từ từ lưu lôi em ra đến chỗ cái ghế mây dài thì ngồi xuống buộc em cũng phải ngồi bên cạnh|rồi từ từ lưu lôi em ra đến chỗ cái ghế mây dài thì mới xuống buộc em cũng phải ngồi bên cạnh 
tts_lines_part_08_line_01230.wav(34.02061855670103%)|thật vậy vào những phút như phút ấy sự khôn ngoan của con người đã bay đi để cho linh hồn thuộc quyền của cảm tình sai khiến|thật vậy vào những phút như phút ấy sự khôn ngoan của con người đã bay đi để cho linh hồn chủ quyền của cảm tình sai khiến  
tts_lines_part_08_line_01231.wav(108.47457627118644%)|em chỉ còn vẳng thấy lưu nói mãi những câu em không nghe rõ nghĩa lý thế nào|em chỉ còn bạn thấy lưu nói mãi những câu em không nghe rõ nghĩa lý thế nào 
tts_lines_part_08_line_01236.wav(100.0%)|mãi|bẩy
tts_lines_part_08_line_01238.wav(57.14285714285714%)|dịu dàng|dịu ra  
tts_lines_part_08_line_01243.wav(65.78947368421053%)|thật là một trận mưa rào rạt những ái ân mơn trớn |thật là một trận mưa rào giảm những ái ân mơn trớn
tts_lines_part_08_line_01245.wav(33.33333333333333%)|bốn bề thật êm ả tĩnh mịch gian phòng vẫn lặng ngắt như tờ|bốn bề thật êm ả tĩnh mịch gian phòng vẫn làm ngắt như tờ 
tts_lines_part_08_line_01258.wav(50.0%)|mất tân|bắt tên
tts_lines_part_08_line_01272.wav(500.0%)|i     |hi ánh
tts_lines_part_08_line_01306.wav(63.33333333333333%)|có bao giờ chúng ta dám thú nhận không |có bao giờ chúng ta giảm thú nhận không
tts_lines_part_08_line_01307.wav(125.42372881355932%)|nếu ngộ nhỡ người bề trên lại còn phòng xa mà ly tán chúng ta thì làm thế nào |nếu mà những người bề trên lại còn phòng xa mà ly tán chúng ta thì làm thế nào
tts_lines_part_08_line_01312.wav(106.88073394495412%)|chẳng gì bằng cứ bỏ quách cả gia đình lẳng lặng ra đi ta lập một cảnh gia đình khác với nhau mãi cho bao giờ chúng ta trở nên người anh thì có chút kinh doanh em thì tay bồng tay dắt lúc ấy ta sẽ quay về chịu tội một cách hùng dũng hai bên cha mẹ dẫu có tức cũng phải bấm bụng chịu vậy|chẳng gì bằng cứ bỏ quách cả gia đình là làng ra đi ta là một cảnh gia đình khác với nhau mãi cho bao giờ chúng ta trở nên người anh thì có chút kinh doanh em thì tay bồng tay dắt lúc ấy ta sẽ quay về chịu tội một cách hùng dũng hai bên cha mẹ dẫu có tức cũng phải bấm bụng chịu vậy   
tts_lines_part_08_line_01313.wav(88.88888888888889%)|bằng không|bạn không 
tts_lines_part_08_line_01321.wav(44.44444444444444%)|rồi chúng em lảng nhau|rồi chúng em làm nhau 
tts_lines_part_08_line_01387.wav(118.84057971014492%)|em không biết rằng chính lưu đã cuống quýt lắm nên mới dặn đi dặn lại em đừng nên rối trí|em khôn biết rằng chính lưu đã cuống quýt lắm nên mới dặn đi dặn lại em đừng nên rối chín
tts_lines_part_08_line_01394.wav(40.69767441860465%)|em thì em cứ nghi cho người tự tử đó là lưu và hễ càng nghi em càng khấn trời phật cho người ấy không phải là lưu|em thì em cứ nghi cho người tự tử đó là lưu và hễ càng nghi em càng khấn trời và cho người ấy không phải là lưu  
tts_lines_part_08_line_01419.wav(118.18181818181819%)|iii lấy chồng|ba lấy chồng 
tts_lines_part_08_line_01437.wav(50.0%)|mất tân|bắt tên
tts_lines_part_08_line_01447.wav(93.07359307359307%)|cái danh dự một người đàn bà đã tựa căn bản vào một vật rất nhỏ mọn rất mỏng mảnh là cái màng tân thì đối lại những cử chỉ như nặn ra một vẻ mặt e lệ ngây thơ và cách ép rất kín đáo đôi xương hông thật chặt lại để gây ra sự khó nhọc chật vật và sự đau đớn cho tân lang cũng có khi cứu vớt được người đàn bà|cái danh dự một người đàn bà đã tựa căn bản vào một vật rất nhỏ mọn rất mỏng mảnh là cái bàn tân thì đối lại những cử chỉ như nặn ra một vẻ mặt e lệ ngây thơ và cách ép rất kín đáo đôi xương hông thật chặt lại để gây ra sự khó nhọc chật vật và sự đau đớn cho tân lang cũng có khi cứu vớt được người đàn bà 
tts_lines_part_08_line_01452.wav(150.0%)|ôi |tôi
tts_lines_part_08_line_01461.wav(118.18181818181819%)|thưa ông vâng|cứ ông vân   
tts_lines_part_08_line_01479.wav(116.45569620253164%)|em sẽ nói như thế một cách thản nhiên nhưng mà rắn rỏi dịu dàng nhưng mà gang thép vừa gỡ tội cho em và vừa buộc tội tân lang để cho người đàn ông ấy tự thấy có lỗi mặc dầu vợ mới cưới của người ấy đã mất tân|em sẽ nói như thế một cái thản nhiên nhưng mà rắn rỏi dịu dàng nhưng mà gang thép vừa gỡ tội cho em và vừa buộc tội tân lang để cho người đàn ông ấy tự thấy có lỗi mặc dầu vợ mới cưới của người ấy đã mất tân 
tts_lines_part_08_line_01483.wav(100.0%)|chứ gì  |chàng tì
tts_lines_part_08_line_01502.wav(22.22222222222222%)|động phòng|động không
tts_lines_part_08_line_01514.wav(87.5%)|một cử chỉ như thế thật là ân ái thật là tha thiết đáng cảm động nếu không có cái tiếng đã mà chàng vừa vô ý thốt ra|một cử chỉ như thế thật là ái thật là tha thiết đáng cảm động nếu không có cái tiếng đã mà chàng vừa vô ý thốt ra   
tts_lines_part_08_line_01518.wav(99.11504424778761%)|em càng yên trí tân lang là một kẻ ngu nếu không là một kẻ tầm thường vì một kẻ ngu thường ra vẫn rất tài tình trong cái nghệ thuật mơn trớn phụ nữ|em càng yên trí tân lang là một kẻ mù nếu không là một kẻ tầm thường vì một kẻ ngu thường ra vẫn rất tài tình trong cái nghệ thuật mơn trớn phụ nữ 
tts_lines_part_08_line_01525.wav(50.0%)|mất tân|bắt tên
tts_lines_part_08_line_01537.wav(60.86956521739131%)|chàng kêu được thấy mặt em một vài lần là rồi phải lòng em ngay mà không được dịp ngỏ bày tâm sự cho nên cứ phải ôm cái mối khổ tâm yêu vụng giấu thầm|chàng kêu được thấy mặt em một vài lần là rồi phải lòng em ngay mà không được gì mở bày tâm sự cho nên cứ phải ôm cái mối khổ tâm yêu vụng giấu thầm  
tts_lines_part_08_line_01539.wav(69.62025316455697%)|tuy nhiên vẫn còn cả một điều làm chàng chưa thỏa mãn hẳn ấy là hai người không vì ái tình mà lấy nhau|tuy nhiên vẫn còn cả một điều làm chàng chỉ có mãn hẳn ấy là hai người không bị ái tình mà lấy nhau   
tts_lines_part_08_line_01542.wav(36.69724770642202%)|không phải cái thứ yêu theo như công lệ nhưng mà là thứ lòng yêu đặc biệt có đủ mọi vẻ hằn học oẻ hoe giận dỗi căm hờn của một người tình nhân|không phải cái thứ yêu theo như công lệ nhưng mà là thứ lòng yêu đặc biệt có đủ mọi vẻ hằn học oẻ hoe dẫn dỗi căm hờn của một người tình nhân 
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_08_line_01550.wav
tts_lines_part_08_line_01560.wav(61.46341463414634%)|ra vẻ rất hài lòng tân lang nhích ghế lại gần em nhắc cái nệm nhung tròn để lại cho nhằm vào giữa lưng em vòng hai cánh tay ôm chặt lấy em trừng trừng nhìn em như ngắm nghía một bức họa mỹ nhân tuyệt bút đoạn hôn vào giữa miệng em như người ta hôn nhau trên màn ảnh  |ra vẻ rất hài lòng tân lang nhích ghế lại gần em nhắc cái nệm nhung tròn để lại cho nhằm vào giữa lưng em vòng hai cánh tay ôm chặt lấy em thường thường nhìn em như ngắm nghía một bức họa mỹ nhân tuyệt bút đoạn hôn vào giữa miệng em như người ta hôn nhau trên màn ảnh
tts_lines_part_08_line_01561.wav(45.0%)|trống ngực đánh ran lên em bỗng bủn rủn khắp người |trống ngực đánh ran lên em bỗng buồn dồn khắp người
tts_lines_part_08_line_01563.wav(130.70866141732282%)|ngồi nghiêm chỉnh lên rồi từ đây trở đi em chỉ phải trả lời chồng về những câu hỏi về gia đình về học lực về bạn hữu và những câu hỏi lặt vặt lan man khác nữa mà thôi|mỗi nghiêm chỉnh lên rồi từ đây trở đi em chỉ phải trả lời chồng về những câu hỏi về gia đình về học lực về bạn hữu và những câu hỏi là và lan đang thác nữa mà thôi  
tts_lines_part_08_line_01572.wav(20.454545454545457%)|vân những sự ôm ấp nưng niu hôn hít đầy những vẻ kính yêu thành thực mà một người chồng nếu chưa hẳn là vợ còn băng tuyết thì không thể nào vờ vĩnh yêu đương được như thế  |vân những sự ôm ấp nưng niu hôn hít đầy những vẻ kính yêu thành thực mà một người chồng nếu chưa hẳn là vợ còn băng tuyết thì không thể nào và bình nhiều đương được như thế
tts_lines_part_08_line_01574.wav(96.07843137254902%)|nằm cạnh một người chồng phong tình đã làm đủ mọi trò kỳ quái với mình vào những phút mà xác thịt em rung động mà gân cốt và ngũ quan của em đều như thức cả dậy để đón chờ cái khoái lạc cực điểm thì chồng em tháo gỡ ra khỏi hai cánh tay em rồi quay lưng lại em mà ngủ  |nằm cạnh một người chồng phong tình đã làm đủ mọi trò kỳ của anh với mình vào những phút mà xác thịt em rung động mà gân cốt và mối quan của em đều như thức cả dậy để đón chờ cái khoái lạc cực điểm thì chồng em tháo gỡ ra khỏi hai cánh tay em rồi quay lưng lại em mà bố
tts_lines_part_08_line_01579.wav(61.165048543689316%)|em phân vân quá không thể nhất định ở một cách khu xử nào nữa vì sự đột ngột thay đổi của chồng làm cho mọi sự trù tính của em rối loạn|em phân vân quá không thể nhất định ở một cách khu xử nào nữa vì sự đột một thay đổi của chồng làm cho mọi sự chủ tính của em rối loạn 
tts_lines_part_08_line_01596.wav(30.612244897959183%)|đàn ông bây giờ mà mắc bệnh phong tình đó có là sự quái gở gì đâu |đàn ông bây giờ mà mắc bệnh phong tình đó có là sự của a gờ gì đâu
tts_lines_part_08_line_01597.wav(32.0%)|thiếu niên mắc nhan nhản ra đấy  |thiếu niên mắc nhan nhản giả đánh
tts_lines_part_08_line_01620.wav(86.95652173913044%)|nhà con chỉ chữa thuốc ta khỏi hay không con biết sao được|nhà con chỉ chữa cho ta khỏi hay không con biết sao được  
tts_lines_part_08_line_01639.wav(82.22222222222221%)|bẩm thế cháu chữa thuốc tây thì phải trong bao nhiêu lâu|bẩm thế cháu chữa tứ tây thì phải trong bao nhiêu lâu   
tts_lines_part_08_line_01666.wav(120.0%)|rồi cuộc khám bệnh bất kỳ ấy kết liễu bằng những phát tiêm nọ kế tiếp những phát tiêm kia|rồi của khám bệnh bất kỳ ấy kết liễu bằng những phát tiêm nọ kế tiếp những phát tiêm kia 
tts_lines_part_08_line_01709.wav(120.93023255813952%)|con quái vật tiếng ấy có ngụ những nghĩa hư hỏng dâm tà |còn của ai vật tiếng ấy có bộ những nghĩa hư hỏng dâm tà
tts_lines_part_08_line_01711.wav(110.55276381909547%)|chồng em thuộc hạng người lạc quan lạc quan một cách mù lòa không suy xét thí dụ như có thể coi khiêu vũ chỉ là cái lịch sự những mốt y phục luôn luôn thay đổi chỉ là những dấu hiệu tiến bộ cho vợ tự do tiếp đãi đàn ông chỉ là yêu quý vợ theo người tây phương|chồng em thuộc hạng người lạc quan là con một cách mù lại không suy sét thí dụ như có thể coi khiêu vũ chỉ là cái lịch sự những mốt y phục luôn luôn thay đổi chỉ là những dấu hiệu tiến bộ cho vợ tự do tiếp đãi đàn ông chỉ là yêu quý vợ theo người tây phương  
tts_lines_part_08_line_01725.wav(114.70588235294117%)|em có thể công nhận bạn trăm năm làm cho em sung sướng về đủ mọi phương diện khác trừ một phương điện phương diện của một người vợ|em có thể côn nhận bạn trăm năm làm cho em sung sướng về đủ mọi phương diện khác trừ một phương điện phương diện của một người vợ 
tts_lines_part_08_line_01738.wav(128.31858407079645%)|đệm êm chăn ấm gối thêu xác thịt của em được nịnh hót đến nỗi tưởng chừng như giá có một cánh hoa hồng thôi thì em cũng đau lưng mà không ngủ được|để êm chăn ấm gối thêu xác thịt của em được nịnh hót đến nỗi tưởng chừng như giá có một cánh hoa hồng thôi thì em cũng đau lưng mà không ngủ được 
tts_lines_part_08_line_01739.wav(114.81481481481481%)|đêm nay bộ pyjama này đêm mai một bộ khác tóc lại thoảng thoảng xức nước hoa houbigant chồng em chui vào chăn em một cách khéo léo làm sao mà như thế ai nỡ cự tuyệt cho đang|đến nay bộ vi da ma này đêm mai một bộ khác tóc lại hoàn toàn sức nước hoa hu bị gần chồng em chui vào chăn em một cái khéo léo làm sao mà như thế ai nỡ cự tuyệt cho đang   
tts_lines_part_08_line_01746.wav(30.612244897959183%)|sau hai tháng đầu đến cái tuần lễ thứ tám thấy rằng mình không còn thể nào mà chịu đựng nổi những trò khiêu dâm của chồng nữa thấy rằng chồng đương tiêm thuốc mà cứ như thế thì rất vô ích em nhất định ngủ riêng chứ không cho con quỷ dâm ấy nằm với mình|sau hai tháng đầu đến cái tuần lễ thứ tám thấy rằng mình không còn thể nào mà chịu đựng nổi những trò khiêu dâm của chồng nữa thấy rằng chồng đương tiêm thuốc mà cứ như thế thì rất mỗi em nhất định mù riêng chứ không cho con quỷ dâm ấy nằm với mình    
tts_lines_part_08_line_01749.wav(46.794871794871796%)|dưới cơn hăng tiết rất phũ phàng của chồng em đã phải nằm yên như một thứ đồ chơi mãi cho đến khi chồng em buông tha em ra em mới chợt thấy rằng đó là một vụ hiếp dâm thật vậy đó là một vụ hiếp dâm hẳn hoi|dưới cơn hăng tiết rất phũ phàng của chồng em đã phải nằm yên như một thứ đồ chơi mãi cho đến khi chồng em buông tha em ra em mới cho thấy rằng đó là một vụ hiếp dâm thật vậy đó là một vụ hiếp dâm hẳn hoi 
tts_lines_part_08_line_01750.wav(106.81818181818181%)|mà sau cái khoái lạc sẽ là cái gì nếu không là sự lây bệnh|mà sau cái của lạc sẽ là cái gì nếu không là sự lây bệnh  
tts_lines_part_08_line_01757.wav(57.692307692307686%)|em vứt cái đồ dùng vệ sinh ấy và gột rửa cái di tích của cuộc cưỡng bức ái ân kia một cách rất vội vàng|em vứt cái đồ dùng vệ sinh ấy và gột rửa cái di tích của của cưỡng bức ái ân kia một cách rất vội vàng 
tts_lines_part_08_line_01773.wav(29.411764705882355%)|đến khi chàng hạ chiến thư thì em đã yếu ớt đến nỗi không dám chối cãi hoặc cự tuyệt lấy vài lời cho phải phép để gọi là cứu chữa theo lối che mắt thế gian |đến khi chàng hạ chiến thư thì em đã yếu ớt đến nỗi không dám chối cãi hoặc cự tuyệt lấy vài lời cho phải phép để gọi là kiến chữa theo lối che mắt thế gian
tts_lines_part_08_line_01774.wav(116.15720524017468%)|các chị em tưởng tượng ra một chàng nam tử có nước da hồng hào tỏ cái phương cương ghê gớm của khí huyết cái mũi dọc dừa hai hàm răng ngà ngọc ngực nở vai rộng với bộ quần áo thuộc hàng xa xỉ phẩm màu hồng với một cái máy ảnh quý giá cầm tay lại đứng bên một chiếc xe hơi hòm hình dáng cánh cam nữa|các chị em tưởng tượng ra một trẻ nam tử có nước da hồng hào tỏ cái phương cương ghê gớm của khí huyết cái mũi dọc dừa hai hàm răng ngà ngọc ngực nở vai rộng với bộ quần áo thuộc hàng xa xỉ phẩm màu hồng với một cái máy ảnh quý giá cầm tay lại đứng bên một chiếc xe hơi hòm hình dáng cánh cam nữa  
tts_lines_part_08_line_01779.wav(116.66666666666667%)|có duyên thầm ấy nói thế thì dễ mà đúng|có diễn thầm ấy nói thế thì dễ mà đúng 
tts_lines_part_08_line_01783.wav(68.86792452830188%)|khi một người đã trượt chân một lần đầu thì cứ sa ngã mãi mà chẳng biết khi đã đem hy sinh cho ái tình cái e thẹn thiếu nữ lúc còn ngây thơ|khi một người đã trượt chân một lần đầu thì cứ sa ngã mãi mà chả biết khi đã đem hy sinh cho ái tình cái e thẹn thiếu nữ lúc còn người thơ 
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_08_line_01784.wav
tts_lines_part_08_line_01793.wav(22.5%)|hình như chàng kêu đã mất ăn cả mấy giải kép thua vài chục bạc chỉ được một cái pari mutuel là bốn đồng|hình như chàng kêu đã mất ăn cả mấy giải kép thua vài chục bạc chỉ được một cái pari đi eo là bốn đồng 
