VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK29_011|x_i_1 k_e_4 v_e_2 ɯə_k_5b m_ɤ_1 k_uə_4 m_i_ŋ_2 iɛ_n_5 k_ɯə_j_2 ŋ_ɯə_j_2 t_a_1 s_ɛ_3 n_ɔ_j_5 ɛ_m_1 ɲ_ɯ_1 tʰ_e_5 n_ă_j_2 m_a_2 ɯə_k_5b m_ɤ_1 k_a_w_1 ɲ_ɯ_ŋ_1 ɛ_m_1 k_ɯ_5 ɯə_k_5b m_ɤ_1
VIVOSSPK29_012|c_ɯ_ŋ_2 n_a_w_2 tʰ_u_4 t_u_k_6b h_ɛ_ŋ_2 c_i_ŋ_5 x_o_ŋ͡m_1 k_ɔ_n_2 n_ɯə_3 tʰ_i_2 f_ɯə_ŋ_1 a_n_5 k_uə_4 ɛ_ŋ_1 b_ɛ_k_5b k_ɔ_5 tʰ_e_4 tʰ_ɯ_k_6b h_iə_n_6 d_ɯə_k_6b
VIVOSSPK29_013|m_o_t_6b m_ă_t_6b c_ɔ_1 z_ă_ŋ_2 t_i_ŋ_2 iə_w_1 l_a_2 m_o_t_6b f_u_t_5b v_i_ŋ_3 h_ă_ŋ_2 m_ă_t_6b x_a_k_5b l_a_j_6 k_a_m_4 tʰ_ɤ̆_j_5 s_o_ŋ͡m_5 v_ɤ_j_5 ɲ_ă_w_1 d_e_n_5 z_ă_ŋ_1 l_ɔ_ŋ͡m_1 d_ɤ̆_w_2 b_a_k_6b l_a_2 m_o_t_6b c_w_iə_n_6 x_a_k_5b
VIVOSSPK29_014|ɲ_ɯ_ŋ_1 t_iə_ŋ_5 z_i_w_5 z_a_n_1 k_uə_4 b_a_1 ɛ_ŋ_1 ɛ_m_1 b_a_w_4 t_ɤ̆_m_1 b_a_w_4 v_ɤ̆_n_1 v_a_2 z_iə_m_6 d_a_3 m_ă_w_1 c_ɔ_ŋ͡m_5 s_uə_1 t_a_n_1 ɲ_ɯ_ŋ_3 b_ɔ_ŋ͡m_5 d_ɛ_n_1 k_uə_4 kw_a_5 x_ɯ_5
VIVOSSPK29_015|f_a_j_4 z_o_j_2 k_ɤ̆_w_1 t_iə_p_5b tʰ_eo_1 n_ɔ_j_5 ŋ_w_iə_n_1 v_ă_n_1 t_iə_ŋ_5 f_a_p_5b z_ɤ̆_t_5b c_w_ɤ̆_n_4 b_a_n_2 t_ă_j_1 n_ă_m_5 l_a_j_6 c_i_4 tʰ_ă_ŋ_4 m_o_t_6b ŋ_ɔ_n_5 v_e_2 f_iə_5 c_ɯə_k_5b
VIVOSSPK29_016|s_uə_t_5b tʰ_ɤ_j_2 z_a_n_1 z_a_j_2 tʰ_ɯ_k_6b z_ɤ̆_n_1 z_ɤ̆_t_5b x_ɔ_5 s_ɯ_4 m_ă_k_6b z_ɤ̆_w_2 c_u_ŋ_5 d_e_2 k_a_w_1 k_o_ŋ͡m_1 l_a_w_1 k_uə_4 t_e_n_1 v_iə_t_6b z_a_n_1 l_ɛ_ŋ_3 b_i_ŋ_1 t_a_n_5 k_ɛ_4 f_a_n_4 b_o_j_6
VIVOSSPK29_017|k_ɔ_6 d_ɛ_ŋ_5 m_a_5 h_o_ŋ͡m_2 ɲ_ɔ_4 h_ɤ_n_1 k_ɔ_6 f_u_4 f_ɤ̆_n_5 d_ɤ̆_w_2 c_ɔ_n_2 l_o_ŋ͡m_1 ɲ_ɔ_4 v_a_2 m_i_n_6
VIVOSSPK29_018|ɛ_m_1 c_ɤ̆_m_1 l_ɤ̆_w_1 ŋ_ă_j_2 d_ɯə_k_6b z_ɛ_ŋ_4 t_ă_j_1 c_w_iə_n_6 c_o_ŋ͡m_2 k_ɔ_n_1 k_ɯə_j_2 ŋ_w_a_k_5b m_iə_ŋ_6 d_e_n_5 m_ɯ_k_5b t_ɛ_5 x_ɔ_j_4 ɣ_e_5
VIVOSSPK29_019|n_ɛu_5 k_a_k_5b k_ɤ̆_w_2 tʰ_u_4 v_ɤ̆_n_3 x_o_ŋ͡m_1 h_a_j_2 l_ɔ_ŋ͡m_2 c_u_ŋ_5 t_o_j_1 s_ɛ_3 t_a_w_6 d_iə_w_2 k_iə_n_6 c_ɔ_1 h_ɔ_6 z_a_1 d_i_1 c_ɯ_5 x_o_ŋ͡m_1 l_a_m_2 x_ɔ_5 x_ă_n_1 ɣ_i_2
VIVOSSPK29_020|x_i_1 ɣ_ă_p_6b k_ɤ̆_w_6 b_ɛ_5 t_o_j_5 n_ă_j_1 ɛ_ŋ_1 h_iə_w_4 z_a_1 z_ɔ_ŋ͡m_6 n_ɔ_j_5 l_u_k_5b b_a_n_1 s_a_ŋ_5 l_a_2 k_uə_4 a_j_1
VIVOSSPK29_021|ă_n_1 uə_ŋ_5 d_ɤ̆_j_2 d_u_4 c_ɯə_k_5b x_i_1 f_ɔ_ŋ͡m_4 v_ɤ̆_n_5 d_e_4 b_a_n_6 c_o_ŋ͡m_1 tʰ_ɤ̆_t_6b h_w_ɛ_ŋ_2 c_a_ŋ_5 d_ɤ̆_j_2 s_ɯ_k_5b s_o_ŋ͡m_5
VIVOSSPK29_022|o_ŋ͡m_1 t_i_n_1 z_ă_ŋ_2 c_u_4 ɲ_a_2 s_ɛ_3 tʰ_i_1 d_ɤ̆_w_5 ɤ̆_n_5 t_ɯə_ŋ_6 h_ɤ_n_1 n_ɯə_3 c_ɔ_ŋ͡m_1 ɲ_ɯ_ŋ_3 c_ɤ̆_n_6 d_ɤ̆_w_5 k_e_5 t_iə_p_5b d_e_4 k_ɔ_5 tʰ_e_4 b_ɯə_k_5b l_e_n_1 b_u_k_6b k_a_w_1 ɲ_ɤ̆_t_5b
VIVOSSPK29_023|ɲ_ɯ_ŋ_3 l_u_k_5b ɤ̆_j_5 b_a_n_6 n_a_w_2 k_u_ŋ_3 b_uə_n_2 ɲ_ɯ_ŋ_1 x_o_ŋ͡m_1 v_i_2 tʰ_e_5 m_a_2 b_ɔ_n_6 m_i_ŋ_2 z_ɯ_ŋ_2 b_ɯə_k_5b ŋ_w_iə_n_3 tʰ_i_6 h_w_a_1 m_o_t_6b n_ɯ_3 tʰ_ɛ_ŋ_2 v_iə_n_1 t_i_k_5b k_ɯ_k_6b kw_a_4 kw_iɛ_t_5b
VIVOSSPK29_024|o_ŋ͡m_1 k_a_n_1 d_a_3 d_ɛ_ŋ_5 v_ɤ_6 ŋ_ɤ̆_t_5b s_i_w_4 s_ă_w_1 d_ɔ_5 c_ɤ_4 d_e_n_5 c_u_ŋ_1 t_ɤ̆_m_1 t_i_m_1 m_ɛ_k_6b t_i_ŋ_4 a_n_1 z_a_ŋ_1 ɲ_ɯ_ŋ_1 n_a_n_6 ɲ_ɤ̆_n_1 d_a_3 c_e_t_5b
VIVOSSPK29_025|l_a_2 t_o_j_1 n_ɔ_j_5 l_ɤ_j_2 iə_w_1 ɛ_ŋ_1 ɤ̆_j_5 c_ɯə_k_5b ɛ_ŋ_1 ɤ̆_j_5 c_i_4 l_a_2 ŋ_ɯə_j_2 t_iə_p_5b ɲ_ɤ̆_n_6
VIVOSSPK29_026|f_ɔ_ŋ͡m_2 c_o_ŋ͡m_5 tʰ_a_m_1 ɲ_u_ŋ_3 x_o_ŋ͡m_1 d_ɯə_k_6b c_u_4 kw_a_n_1 k_ɤ̆_n_2 l_a_m_2 l_iə_n_1 t_u_k_6b d_o_ŋ͡m_2 b_o_6 v_a_2 k_ɔ_5 k_a_k_5b z_a_j_4 f_a_p_5b
VIVOSSPK29_027|ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 l_a_m_2 v_iə_k_6b c_ɔ_1 k_a_k_5b b_o_6 ŋ_ɛ_ŋ_2 d_a_3 ŋ_iə_n_1 k_ɯ_w_5 d_i_1 z_ɤ̆_t_5b ɲ_iə_w_2 n_ɤ_j_1 c_e_n_1 tʰ_e_5 z_ɤ_j_5 v_a_2 h_ɔ_6 h_iə_w_4 b_iə_t_5b v_e_2 k_a_k_5b v_ɤ̆_n_5 d_e_2 n_ă_j_2
VIVOSSPK29_028|ɲ_ɯ_ŋ_1 c_ɯə_1 c_ă_k_5b ɣ_i_2 s_i_ŋ_1 v_iə_n_1 c_i_w_6 d_ɔ_k͡p_6b n_ɛu_5 t_iə_p_5b t_u_k_6b h_ɔ_k͡p_6b tʰ_eo_1 l_o_j_5 k_u_3 v_i_2 h_ɔ_6 c_i_4 k_ɤ̆_n_2 h_ɔ_k͡p_6b tʰ_uə_k_6b l_ɔ_ŋ͡m_2 b_a_j_2 z_a_ŋ_4 k_uə_4 tʰ_ɤ̆_j_2 d_e_4 tʰ_i_1 d_ɤ̆_w_6
VIVOSSPK29_029|x_i_1 ɲ_ɤ̆_n_6 tʰ_ɤ̆_j_5 tʰ_ɤ̆_n_2 z_ɔ_5 d_a_3 z_ɤ̆_n_2 l_ă_ŋ_6 i_m_1 t_iə_ŋ_5 h_u_5 c_a_ŋ_2 v_o_j_6 l_e_n_1 t_iə_ŋ_5 b_ă_j_2 t_ɔ_4 l_ɔ_ŋ͡m_2 b_iə_t_5b ɤ_n_1 c_ɤ̆_n_1 tʰ_ɛ_ŋ_2 k_uə_4 m_i_ŋ_2
VIVOSSPK29_030|d_ɔ_5 tʰ_ɯ_k_6b z_a_1 k_ɔ_5 tʰ_e_4 l_a_2 m_o_t_6b i_5 t_ɯə_ŋ_4 x_a_5 h_ă_j_1 n_ɛu_5 ɛ_m_1 m_uə_n_5 d_a_t_6b d_ɯə_k_6b d_iə_w_2 n_ă_j_2 h_ă_j_1 d_iə_w_2 x_a_k_5b
VIVOSSPK29_031|ɛ_m_1 b_i_ŋ_2 tʰ_a_n_4 c_ɯə_k_5b ɲ_ɯ_ŋ_3 m_o_j_5 kw_a_n_1 h_e_6 k_uə_4 ɛ_ŋ_1 v_a_2 k_u_ŋ_3 b_i_ŋ_2 tʰ_a_n_4 l_uə_n_1 c_ɯə_k_5b l_ɤ_j_2 k_ɤ̆_w_2 h_o_n_1 ɛ_ŋ_1 m_uə_n_5 k_ɯə_j_5 ɛ_m_1
VIVOSSPK29_032|k_ɔ_5 d_iə_w_2 s_ɛ_k_5b tʰ_iə_n_1 n_a_m_1 ŋ_ɯ_3 l_u_k_6b l_ɯ_w_1 c_w_iə_n_2 d_a_3 h_a_ŋ_2 c_ă_m_1 n_ă_m_1 t_ɤ̆_t_5b x_o_ŋ͡m_1 x_ɔ_j_4 t_a_m_1 s_a_w_1 tʰ_ɤ̆_t_5b b_o_n_4 x_ɔ_5 b_iə_t_5b a_j_1 d_u_ŋ_5 a_j_1 s_a_j_1
VIVOSSPK29_033|ɛ_ŋ_1 l_w_iə_n_6 t_ɤ̆_p_6b tʰ_o_j_4 s_a_w_5 d_e_n_5 n_ă_j_1 d_a_3 k_ɔ_5 tʰ_e_4 m_ɯ_w_1 s_i_ŋ_1 b_ă_ŋ_2 ŋ_e_2 tʰ_o_j_4 s_a_w_5
VIVOSSPK29_034|l_w_ɤ̆_t_6b s_ɯ_1 k_uə_4 d_ɯə_ŋ_1 s_ɯ_6 k_ɔ_5 tʰ_e_4 tʰ_ɯə_ŋ_1 l_ɯə_ŋ_6 v_ɤ_j_5 k_o_ŋ͡m_1 t_o_5 v_iə_n_1 b_ă_ŋ_2 k_ɛ_k_5b d_e_2 ŋ_i_6 d_ɯə_1 z_a_1 k_a_k_5b z_a_j_4 f_a_p_5b tʰ_iə_n_6 c_i_5 d_e_4 z_a_j_4 kw_iɛ_t_5b v_u_6 v_iə_k_6b
VIVOSSPK29_035|ɛ_ŋ_1 k_ɯ_5 d_ɯə_1 v_a_w_2 ɲ_ɯ_ŋ_3 k_ɤ̆_w_1 c_ɯ_3 m_a_2 x_i_1 n_ɔ_j_5 d_e_n_5 c_o_ŋ͡m_5 tʰ_a_m_1 ɲ_u_ŋ_3 ɲ_iə_w_2 kw_a_n_1 c_ɯ_k_5b v_ɤ̆_n_3 tʰ_ɯə_ŋ_2 f_a_t_5b b_iə_w_4 ɤ̆_j_5
VIVOSSPK29_036|tʰ_i_2 l_a_j_5 s_ɛ_1 l_ɤ_1 s_ɛ_1 c_u_4 s_ɛ_1 d_a_3 d_uə_j_4 tʰ_ɤ̆_m_6 c_i_5 d_a_p_6b x_ɛ_k_5b s_uə_ŋ_5 s_ɛ_1
VIVOSSPK29_037|t_o_j_1 l_ɤ̆_t_6b d_ɤ̆_t_6b z_ă_t_5b s_ɛ_1 d_a_p_6b v_o_j_6 d_i_1 m_a_2 k_ɔ_n_2 ŋ_ɛ_1 t_iə_ŋ_5 k_ɯə_j_2 v_ɤ_j_5 tʰ_eo_1 k_uə_4 ɣ_a_3 b_ɔ_ŋ͡m_5 n_ɔ_6 d_i_1 d_ɤ̆_m_5 b_ɔ_p_5b m_a_2 k_ɔ_n_2 b_ă_j_2 d_ă_t_6b x_ɔ_5 t_i_ŋ_5
VIVOSSPK29_038|m_o_t_6b ŋ_ă_j_2 n_a_w_2 d_ɔ_5 b_a_n_6 s_ɛ_3 k_ɔ_5 k_ɤ_1 h_o_j_6 ɣ_ă_p_6b d_u_ŋ_5 ŋ_ɯə_j_2 f_u_6 n_ɯ_3 k_uə_4 k_uə_k_6b d_ɤ_j_2 m_i_ŋ_2
VIVOSSPK29_039|f_a_j_4 s_ɯ_4 l_i_5 z_a_1 s_a_w_1 ɲ_iə_w_2 ɲ_a_2 k_a_w_1 t_ɤ̆_ŋ_2 f_a_5 v_ɤ_3 k_ɛ_ŋ_4 kw_a_n_1 d_a_3 d_ɯə_k_6b s_ɤ̆_j_1 z_ɯ_ŋ_6 c_ɔ_ŋ͡m_1 x_u_1 v_ɯ_k_6b b_ɤ̆_t_5b x_a_4 s_ɤ̆_m_1 f_a_m_6 k_uə_4 z_i_1 t_i_k_5b
VIVOSSPK29_040|x_i_1 tʰ_ă_j_1 d_o_j_4 k_ɤ̆_w_1 c_a_4 l_ɤ_j_2 tʰ_i_5 s_i_ŋ_1 c_ɔ_n_6 o_1 c_a_4 l_ɤ_j_2 m_ɤ_j_5 v_a_2 t_ɤ̆_j_4 o_1 k_u_3 tʰ_ɤ̆_t_6b s_ɛ_k_6b c_ɛ_ŋ_5 l_a_m_2 z_ɛ_k_5b f_iə_w_5 c_a_4 l_ɤ_j_2
VIVOSSPK29_041|ɛ_m_1 ŋ_ɛ_1 n_ɔ_j_5 tʰ_ɯə_ŋ_2 s_w_iə_n_1 ɲ_ɔ_4 c_ɛ_ŋ_1 v_a_w_2 m_ă_t_5b s_ɛ_3 z_u_p_5b k_ɯə_4 s_o_4 t_ɤ̆_m_1 h_o_n_2 l_ɔ_ŋ͡m_1 l_ɛ_ŋ_1 m_ɤ_1 m_a_ŋ_2 h_ɤ_n_1
VIVOSSPK29_042|f_ɤ̆_n_2 l_ɤ_n_5 k_a_k_5b f_u_6 h_w_i_ŋ_1 v_a_2 tʰ_i_5 s_i_ŋ_1 c_ɛ_ŋ_1 tʰ_u_4 d_i_1 s_ɤ_m_5 t_ɯ_2 l_u_k_5b t_ɤ_2 m_ɤ_2 s_a_ŋ_5
VIVOSSPK29_043|c_ɤ_j_2 m_ɯə_1 v_a_2 l_ɛ_ŋ_6 ɲ_ɯ_ŋ_1 v_ɤ̆_n_3 x_o_ŋ͡m_1 d_u_4 s_ɯ_k_5b l_a_m_2 z_i_w_6 d_i_1 k_a_j_5 d_ɤ̆_w_2 b_o_k͡p_5b h_w_a_4 k_uə_4 ɲ_iə_w_2 k_ɤ̆_w_2 tʰ_u_4 d_o_j_1 b_e_n_1 b_ɤ_j_4 ɲ_ɯ_ŋ_3 f_a_1 v_a_1 c_a_m_6 k_ɯ_ŋ_5 z_ă_n_5
VIVOSSPK29_044|ɲ_ɤ_2 k_ɔ_5 b_e_ŋ_6 s_a_5 d_ă_ŋ_6 tʰ_u_j_2 c_ɤ̆_m_1 z_u_1 x_ɛ_k_5b c_ɔ_ŋ͡m_1 n_ɯə_k_5b v_a_2 n_ɯə_k_5b ŋ_w_a_j_2 b_iə_t_5b d_e_n_5 v_u_ŋ_2 kw_e_1 d_ɯ_k_5b f_o_4 ɛ_ŋ_1 h_u_ŋ_2 ɲ_iə_w_2 h_ɤ_n_1
VIVOSSPK29_045|t_o_j_1 d_a_3 tʰ_ɤ̆_t_6b b_uə_n_2 c_ɔ_1 t_o_j_1 v_a_2 c_ɔ_1 m_o_j_5 t_i_ŋ_2 d_ɤ̆_w_2 k_uə_4 ɛ_m_1 f_a_j_4 z_a_1 d_i_1 v_o_j_6 v_a_3
VIVOSSPK29_046|v_ɯə_2 ŋ_ɔ_5 s_uə_ŋ_5 t_o_j_1 h_w_a_ŋ_4 h_o_t_5b h_a_ŋ_2 c_u_k_6b k_ɔ_n_1 tʰ_u_5 ɲ_ɔ_4 v_ɔ_k͡p_5b z_a_ŋ_5 b_ă_ŋ_2 k_ɔ_n_1 k_ă_k_5b k_ɛ_2 c_ă_j_6 t_ɤ_j_5 b_a_w_1 v_ɤ̆_j_1 ɲ_ɛ_1 z_ă_ŋ_1 f_ɔ_ŋ͡m_5 m_i_ŋ_2 k_ă_n_5 x_ɔ_j_4 m_ă_t_5b k_a_5
VIVOSSPK29_047|c_e_n_1 tʰ_ɯ_k_6b t_e_5 ɲ_a_2 d_ɤ̆_t_5b ɤ_4 z_ɯə_j_5 z_iə_n_6 t_i_k_5b t_o_j_5 tʰ_iə_w_4 v_ɤ̆_n_3 d_a_ŋ_1 d_ɯə_k_6b ŋ_ɯə_j_2 z_ɤ̆_n_1 m_uə_1 b_a_n_5 v_o_1 t_ɯ_1
VIVOSSPK29_048|o_ŋ͡m_1 t_w_a_n_4 k_e_4 ɲ_iə_w_2 l_u_k_5b k_a_5 c_e_t_5b n_o_j_4 l_e_ŋ_2 b_e_ŋ_2 k_a_5 t_ɯ_6 ɲ_iə_n_1 k_u_ŋ_3 c_e_t_5b k_a_5 tʰ_a_4 n_uə_j_1 c_e_n_1 f_a_5 k_u_ŋ_3 c_e_t_5b
VIVOSSPK29_049|c_i_6 d_a_ŋ_1 t_i_m_2 k_iə_m_5 k_ɤ_1 h_o_j_6 ɣ_ă_p_6b ɣ_ɤ_3 ɲ_ɯ_ŋ_3 ŋ_e_6 s_i_3 ɣ_o_k͡p_5b v_iə_t_6b x_a_k_5b t_a_j_6 f_a_p_5b d_e_4 k_ɔ_5 tʰ_e_4 l_a_m_2 c_iə_n_4 l_a_m_3 c_u_ŋ_1
VIVOSSPK29_050|tʰ_ɛ_ŋ_1 n_iə_n_1 d_a_n_2 o_ŋ͡m_1 ɣ_ɔ_j_6 ɲ_ă_w_1 d_i_1 d_o_n_5 k_ɤ̆_j_1 c_ɤ_4 l_a_5 d_ă_p_5b n_e_n_2 k_ɤ̆_t_5b l_e_n_1 ɲ_ɯ_ŋ_3 k_ă_n_1 ɲ_a_2 m_ɤ_j_5
VIVOSSPK29_051|l_a_n_2 s_ɔ_ŋ͡m_5 tʰ_uə_k_5b l_a_5 l_ɤ̆_w_6 z_a_5 z_ɛ_4 n_ă_j_2 z_ɔ_3 z_a_ŋ_2 d_a_ŋ_1 c_ɤ_4 tʰ_ɛ_ŋ_2 m_o_j_5 d_ɛ_1 z_w_a_6 d_a_ŋ_5 l_ɔ_1 ŋ_a_j_6 c_ɔ_1 s_ɯ_k_5b x_w_e_4 ŋ_ɯə_j_2 t_iə_w_1 z_u_ŋ_2 c_ɔ_ŋ͡m_1 n_ɯə_k_5b
VIVOSSPK29_052|ɣ_i_1 b_a_1 b_a_n_2 c_ɔ_ŋ͡m_1 m_o_t_6b c_ɤ̆_n_6 kw_a_n_1 c_ɔ_ŋ͡m_6 ɲ_ɯ_1 v_ɤ̆_j_6 kw_a_4 l_a_2 d_iə_w_2 t_w_iə_t_6b v_ɤ_j_2
VIVOSSPK29_053|c_i_ŋ_5 kw_iɛ_n_2 s_ɛ_3 f_a_t_5b l_e_n_1 m_a_ŋ_6 d_iə_6 c_i_4 h_i_ŋ_2 ɛ_ŋ_4 k_a_k_5b ɲ_ɤ̆_n_6 z_a_ŋ_6 x_a_k_5b v_a_2 c_i_1 t_iə_t_5b h_o_2 s_ɤ_1 t_o_j_6 a_k_5b k_uə_4 ɲ_ɯ_ŋ_3 k_ɛ_4 f_a_m_6 t_o_j_6
VIVOSSPK29_054|c_ɔ_ŋ͡m_1 k_uə_k_6b k_ɛ_ŋ_6 c_ɛ_ŋ_1 x_o_ŋ͡m_1 k_ɤ̆_n_1 s_ɯ_k_5b n_ă_j_2 k_a_k_5b o_ŋ͡m_1 l_ɤ_n_5 s_ă_n_3 s_a_ŋ_2 s_ɯ_4 z_u_ŋ_6 ɲ_ɯ_ŋ_3 tʰ_u_4 d_w_a_n_6 b_ɤ̆_n_4 ɲ_ɤ̆_t_5b d_e_4 c_iə_t_6b h_a_6 d_o_j_5 f_ɯə_ŋ_1
VIVOSSPK29_055|d_ɤ̆_j_1 l_a_2 k_o_ŋ͡m_1 ŋ_e_6 l_a_m_2 m_uə_j_5 m_ɤ_j_5 d_a_3 d_ɯə_k_6b tʰ_ɯ_4 ŋ_iə_m_6 v_a_w_2 v_u_6 c_ɯə_k_5b v_a_2 c_ɔ_1 k_e_t_5b kw_a_4 x_a_4 kw_a_n_1
VIVOSSPK29_056|ɛ_m_1 ɣ_a_j_5 t_o_j_1 h_ɔ_k͡p_6b m_i_3 tʰ_w_ɤ̆_t_6b m_ɛ_6 b_ă_t_5b n_ɔ_5 f_a_j_4 v_ɛ_3 d_u_ŋ_5 tʰ_ɯ_k_6b t_e_5 k_ă_n_1 f_ɔ_ŋ͡m_2 c_ɔ_6 k_uə_4 b_a_1 c_a_1 k_ɔ_n_1 d_e_4 m_ɛ_6 t_ɯə_ŋ_4 t_ɯə_ŋ_6
VIVOSSPK29_057|n_ɛu_5 s_o_5 d_iə_n_6 tʰ_w_a_j_6 c_e_n_1 x_o_ŋ͡m_1 h_w_a_t_6b d_o_ŋ͡m_6 ŋ_ɯə_j_2 z_u_ŋ_2 s_ɛ_3 l_a_j_6 ɲ_ɤ̆_n_6 d_ɯə_k_6b h_ɯə_ŋ_5 z_ɤ̆_n_3 kw_ă_j_1 m_o_t_6b s_o_5 d_iə_n_6 tʰ_w_a_j_6 x_a_k_5b
VIVOSSPK29_058|x_o_ŋ͡m_1 h_ɔ_j_4 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 z_ɤ̆_n_1 tʰ_i_2 x_o_ŋ͡m_1 a_j_1 k_ɔ_5 tʰ_e_4 s_a_k_5b d_i_ŋ_6 d_ɯə_k_6b m_o_t_6b k_ɛ_k_5b c_i_ŋ_5 s_a_k_5b h_ɔ_6 d_a_ŋ_1 m_ɔ_ŋ͡m_1 m_uə_n_5 ɲ_ɤ̆_t_5b v_e_2 ɲ_ɯ_ŋ_3 v_ɤ̆_n_5 d_e_2 ɣ_i_2
VIVOSSPK29_059|h_a_ŋ_2 ŋ_i_n_2 ŋ_ă_j_2 k_o_ŋ͡m_1 k_uə_4 tʰ_ɛ_ŋ_1 n_iə_n_1 f_u_6 n_ɯ_3 k_u_6 z_a_2 t_ɯ_6 ŋ_w_iə_n_6 k_u_ŋ_2 m_i_ŋ_2 m_ɤ_4 d_ɯə_ŋ_2
VIVOSSPK29_060|l_ɛ_3 z_a_1 c_ɔ_n_6 b_a_n_1 a_1 b_a_n_1 s_i_ŋ_1 v_ɤ̆_t_6b h_ă_j_1 s_e_1 v_ă_n_1 c_ɯə_ŋ_1 tʰ_i_2 t_o_j_1 l_a_j_6 c_ɔ_n_6 b_a_n_1 b_e_1 t_w_a_n_5
VIVOSSPK29_061|b_uə_j_4 s_a_ŋ_5 d_ɤ̆_w_2 n_ă_m_1 m_ɤ_j_5 d_ɯə_ŋ_2 s_a_5 v_ă_ŋ_5 t_ɛ_ŋ_1 m_o_t_6b o_ŋ͡m_1 l_a_j_5 s_ɛ_1 c_ɔ_ŋ͡m_1 x_i_1 s_ă_j_1 d_ɤ̆_m_1 v_a_w_2 z_a_j_4 f_ɤ̆_n_1 k_ɛ_k_5b
VIVOSSPK29_062|s_ɤ̆_n_1 k_ă_n_1 ɲ_a_2 k_u_6 v_ɯə_ŋ_1 b_i_6 c_iə_m_5 z_u_ŋ_6 z_ɯ_ŋ_6 l_ɛu_2 c_ɯə_5 h_a_ŋ_2 h_w_a_5 v_a_2 v_ɤ̆_t_6b z_u_ŋ_6 s_i_ŋ_1 h_w_a_t_6b
VIVOSSPK29_063|b_ɤ_2 b_e_n_1 n_ă_j_2 k_ɔ_5 tʰ_e_4 k_ɛ_k_5b s_a_1 b_ɤ_2 b_e_n_1 k_iə_1 m_o_t_6b k_ɔ_n_1 s_o_ŋ͡m_1 ɲ_ɯ_ŋ_1 z_ɔ_ŋ͡m_2 n_ɯə_k_5b tʰ_i_2 l_a_m_2 s_a_w_1 k_ɛ_4 d_ɯə_ŋ_2 z_ɛ_ŋ_1 z_ɤ_j_5
VIVOSSPK29_064|a_j_1 k_u_ŋ_3 z_a_2 h_e_t_5b z_o_j_2 c_ɤ̆_n_1 z_u_n_1 m_ă_t_5b k_ɛ_m_5 ɲ_ɯ_ŋ_1 a_j_1 k_u_ŋ_3 m_uə_n_5 m_o_t_6b l_ɤ̆_n_2 c_ɤ_4 v_e_2 v_ɤ_j_5 ŋ_ă_j_2 s_ɯə_1
VIVOSSPK29_065|h_w_a_1 m_uə_1 t_a_j_6 v_ɯə_n_2 k_u_ŋ_3 ɲ_ɯ_1 c_a_j_5 k_ɤ̆_j_1 h_a_j_5 s_uə_ŋ_5 ă_n_1 t_a_j_6 c_o_3 k_ɔ_5 k_a_j_5 tʰ_u_5 z_iə_ŋ_1 k_uə_4 n_ɔ_5
VIVOSSPK29_066|c_a_1 k_uə_4 h_ɔ_6 m_ɤ̆_t_5b x_i_1 h_a_j_1 ŋ_ɯə_j_2 m_ɤ_j_5 l_e_n_1 b_o_n_5 d_e_4 l_a_j_6 m_o_t_6b m_i_ŋ_2 ŋ_ɯə_j_2 m_ɛ_6 l_ɔ_1 l_ă_ŋ_5 c_ă_m_1 s_ɔ_k͡p_5b z_a_1 d_i_ŋ_2
VIVOSSPK29_067|ŋ_ɛ_ŋ_2 s_ɛ_3 t_iə_p_5b t_u_k_6b h_ɤ_p_6b t_a_k_5b v_ɤ_j_5 k_ɤ_1 kw_a_n_1 h_ɯ_w_3 kw_a_n_1 d_e_4 l_a_m_2 z_ɔ_3 v_u_6 v_iə_k_6b
VIVOSSPK29_068|c_ɔ_ŋ͡m_1 x_i_1 d_ɔ_5 v_iə_k_6b s_ɯ_4 l_i_5 c_ɯə_1 ŋ_iə_m_1 x_iə_n_5 k_a_k_5b d_o_j_5 t_ɯə_ŋ_6 t_ɔ_4 z_a_1 k_ɔ_j_1 tʰ_ɯə_ŋ_2 f_a_p_5b l_w_ɤ̆_t_6b
VIVOSSPK29_069|v_ɤ̆_j_6 tʰ_i_2 tʰ_eo_1 ɛ_ŋ_1 d_ɤ̆_w_1 l_a_2 ɲ_ɯ_ŋ_3 b_ɤ̆_t_5b l_ɤ_j_6 z_u_j_4 z_ɔ_1 v_a_2 c_i_1 f_i_5 l_iə_n_1 kw_a_n_1 d_e_n_5 k_o_ŋ͡m_1 v_iə_k_6b n_ă_j_2
VIVOSSPK29_070|ɲ_ɯ_1 v_ɤ̆_j_6 b_a_n_6 x_o_ŋ͡m_1 tʰ_e_4 tʰ_i_1 k_u_ŋ_2 x_o_j_5 k_u_ŋ_2 d_ɤ_t_6b v_a_w_2 c_ɯə_ŋ_2 k_ɔ_5 t_o_4 c_ɯ_k_5b tʰ_i_1 v_a_2 x_o_ŋ͡m_1 t_o_4 c_ɯ_k_5b tʰ_i_1 d_ɯə_k_6b
